teams,hid,time,price,fv,ae
Non-Team,1,1,.67449999,.37142858,.30307141
Non-Team,1,2,.74900001,.37142858,.37757143
Non-Team,1,3,.80489999,.37142858,.43347141
Non-Team,1,4,.80489999,.37142858,.43347141
Non-Team,1,5,.80489999,.37142858,.43347141
Non-Team,1,6,.80489999,.37142858,.43347141
Non-Team,1,7,.80489999,.37142858,.43347141
Non-Team,1,8,.80489999,.37142858,.43347141
Non-Team,1,9,.80489999,.37142858,.43347141
Non-Team,1,10,.80489999,.37142858,.43347141
Non-Team,1,11,.801,.37142858,.42957142
Non-Team,1,12,.801,.37142858,.42957142
Non-Team,1,13,.801,.37142858,.42957142
Non-Team,1,14,.801,.37142858,.42957142
Non-Team,1,15,.801,.37142858,.42957142
Non-Team,1,16,.801,.37142858,.42957142
Non-Team,1,17,.81949997,.37142858,.44807139
Non-Team,1,18,.8714,.37142858,.49997142
Non-Team,1,19,.86000001,.37142858,.48857144
Non-Team,1,20,.86000001,.37142858,.48857144
Non-Team,1,21,.86000001,.37142858,.48857144
Non-Team,1,22,.83399999,.37142858,.46257141
Non-Team,1,23,.85350001,.37142858,.48207143
Non-Team,1,24,.829,.37142858,.45757142
Non-Team,1,25,.829,.37142858,.45757142
Non-Team,1,26,.79633331,.37142858,.42490473
Non-Team,1,27,.78100002,.37142858,.40957144
Non-Team,1,28,.78100002,.37142858,.40957144
Non-Team,1,29,.78100002,.37142858,.40957144
Non-Team,1,30,.78100002,.37142858,.40957144
Non-Team,1,31,.78100002,.37142858,.40957144
Non-Team,1,32,.78100002,.37142858,.40957144
Non-Team,1,33,.78100002,.37142858,.40957144
Non-Team,1,34,.78100002,.37142858,.40957144
Non-Team,1,35,.89700001,.37142858,.52557147
Non-Team,1,36,.89700001,.37142858,.52557147
Non-Team,1,37,.89700001,.37142858,.52557147
Non-Team,1,38,.89700001,.37142858,.52557147
Non-Team,1,39,.89700001,.37142858,.52557147
Non-Team,1,40,.89700001,.37142858,.52557147
Non-Team,1,41,.89700001,.37142858,.52557147
Non-Team,1,42,.89700001,.37142858,.52557147
Non-Team,1,43,.89700001,.37142858,.52557147
Non-Team,1,44,.89700001,.37142858,.52557147
Non-Team,1,45,.90375,.37142858,.53232145
Non-Team,1,46,.90375,.37142858,.53232145
Non-Team,1,47,.90375,.37142858,.53232145
Non-Team,1,48,.90375,.37142858,.53232145
Non-Team,1,49,.90375,.37142858,.53232145
Non-Team,1,50,.90066665,.37142858,.5292381
Non-Team,1,51,.90066665,.37142858,.5292381
Non-Team,1,52,.88599998,.37142858,.51457143
Non-Team,1,53,.88599998,.37142858,.51457143
Non-Team,1,54,.88599998,.37142858,.51457143
Non-Team,1,55,.88599998,.37142858,.51457143
Non-Team,1,56,.88599998,.37142858,.51457143
Non-Team,1,57,.88599998,.37142858,.51457143
Non-Team,1,58,.88599998,.37142858,.51457143
Non-Team,1,59,.88599998,.37142858,.51457143
Non-Team,1,60,.88599998,.37142858,.51457143
Non-Team,1,61,.88599998,.37142858,.51457143
Non-Team,1,62,.88599998,.37142858,.51457143
Non-Team,1,63,.88599998,.37142858,.51457143
Non-Team,1,64,.88599998,.37142858,.51457143
Non-Team,1,65,.88599998,.37142858,.51457143
Non-Team,1,66,.88599998,.37142858,.51457143
Non-Team,1,67,.88599998,.37142858,.51457143
Non-Team,1,68,.88599998,.37142858,.51457143
Non-Team,1,69,.88599998,.37142858,.51457143
Non-Team,1,70,.88599998,.37142858,.51457143
Non-Team,1,71,.88599998,.37142858,.51457143
Non-Team,1,72,.88599998,.37142858,.51457143
Non-Team,1,73,.88599998,.37142858,.51457143
Non-Team,1,74,.88599998,.37142858,.51457143
Non-Team,1,75,.88599998,.37142858,.51457143
Non-Team,1,76,.88599998,.37142858,.51457143
Non-Team,1,77,.86450005,.37142858,.49307147
Non-Team,1,78,.86450005,.37142858,.49307147
Non-Team,1,79,.84500003,.37142858,.47357145
