uid,hid,decision,confidence,similarity,teams
05Q690PJ,1,yes,5,5,1
05Q690PJ,2,yes,9,9,1
05Q690PJ,3,no,2,7,1
05Q690PJ,4,yes,6,6,1
05Q690PJ,5,yes,9,9,1
05Q690PJ,6,yes,9,9,1
05Q690PJ,7,no,5,5,1
05Q690PJ,8,no,5,5,1
05Q690PJ,9,no,5,5,1
0DJXJQ03,1,no,9,9,1
0DJXJQ03,2,no,9,9,1
0DJXJQ03,3,yes,9,9,1
0DJXJQ03,4,yes,9,9,1
0DJXJQ03,5,yes,9,7,1
0DJXJQ03,6,yes,9,7,1
0DJXJQ03,7,yes,9,8,1
0DJXJQ03,8,yes,9,8,1
0DJXJQ03,9,no,9,7,1
0PA5AJZW,1,yes,9,8,1
0PA5AJZW,2,yes,7,6,1
0PA5AJZW,3,no,7,6,1
0PA5AJZW,4,yes,8,7,1
0PA5AJZW,5,yes,9,9,1
0PA5AJZW,6,no,7,5,1
0PA5AJZW,7,no,8,8,1
0PA5AJZW,8,no,8,8,1
0PA5AJZW,9,no,8,8,1
1INW3TK4,1,no,8,6,1
1INW3TK4,2,no,8,9,1
1INW3TK4,3,no,8,7,1
1INW3TK4,4,no,6,5,1
1INW3TK4,5,yes,9,9,1
1INW3TK4,6,no,7,4,1
1INW3TK4,7,no,8,8,1
1INW3TK4,8,no,7,7,1
1INW3TK4,9,no,6,5,1
1IVO6ORP,1,yes,8,9,1
1IVO6ORP,2,no,7,7,1
1IVO6ORP,3,no,6,5,1
1IVO6ORP,4,no,6,5,1
1IVO6ORP,5,yes,8,9,1
1IVO6ORP,6,no,7,7,1
1IVO6ORP,7,no,8,8,1
1IVO6ORP,8,no,6,5,1
1IVO6ORP,9,no,6,4,1
24XSQU5H,1,no,6,3,1
24XSQU5H,2,no,7,6,1
24XSQU5H,3,no,8,6,1
24XSQU5H,4,no,5,3,1
24XSQU5H,5,yes,9,10,1
24XSQU5H,6,no,6,3,1
24XSQU5H,7,no,9,10,1
24XSQU5H,8,no,9,10,1
24XSQU5H,9,no,9,10,1
2CR35P08,1,no,6,5,1
2CR35P08,2,no,7,5,1
2CR35P08,3,yes,8,8,1
2CR35P08,4,yes,8,8,1
2CR35P08,5,yes,10,9,1
2CR35P08,6,no,7,6,1
2CR35P08,7,no,9,7,1
2CR35P08,8,no,6,5,1
2CR35P08,9,no,5,4,1
33RVPAMN,1,yes,10,10,1
33RVPAMN,2,yes,10,8,1
33RVPAMN,3,yes,10,8,1
33RVPAMN,4,yes,10,8,1
33RVPAMN,5,yes,10,10,1
33RVPAMN,6,no,10,8,1
33RVPAMN,7,no,8,8,1
33RVPAMN,8,no,8,6,1
33RVPAMN,9,no,8,6,1
388MW6UL,1,no,7,4,1
388MW6UL,2,no,8,7,1
388MW6UL,3,no,7,5,1
388MW6UL,4,no,4,3,1
388MW6UL,5,yes,9,9,1
388MW6UL,6,no,7,7,1
388MW6UL,7,no,8,8,1
388MW6UL,8,no,8,7,1
388MW6UL,9,no,6,5,1
3YZRHBCJ,1,no,8,3,1
3YZRHBCJ,2,no,8,5,1
3YZRHBCJ,3,no,8,3,1
3YZRHBCJ,4,yes,8,7,1
3YZRHBCJ,5,yes,8,7,1
3YZRHBCJ,6,yes,8,7,1
3YZRHBCJ,7,no,8,5,1
3YZRHBCJ,8,no,8,5,1
3YZRHBCJ,9,no,8,5,1
4H0J0LU1,1,no,8,8,1
4H0J0LU1,2,no,8,8,1
4H0J0LU1,3,no,8,8,1
4H0J0LU1,4,no,8,8,1
4H0J0LU1,5,yes,8,8,1
4H0J0LU1,6,no,8,8,1
4H0J0LU1,7,no,8,8,1
4H0J0LU1,8,no,8,8,1
4H0J0LU1,9,no,8,8,1
4SM8OPKC,1,no,7,4,1
4SM8OPKC,2,no,8,7,1
4SM8OPKC,3,no,7,5,1
4SM8OPKC,4,no,4,3,1
4SM8OPKC,5,yes,9,9,1
4SM8OPKC,6,no,7,7,1
4SM8OPKC,7,no,8,8,1
4SM8OPKC,8,no,8,7,1
4SM8OPKC,9,no,6,5,1
55VDZJNR,1,no,9,6,1
55VDZJNR,2,no,9,9,1
55VDZJNR,3,no,9,9,1
55VDZJNR,4,no,9,9,1
55VDZJNR,5,yes,9,9,1
55VDZJNR,6,yes,9,9,1
55VDZJNR,7,no,9,9,1
55VDZJNR,8,no,9,9,1
55VDZJNR,9,no,9,9,1
5FAFB4QZ,1,yes,10,10,1
5FAFB4QZ,2,no,10,7,1
5FAFB4QZ,3,no,10,7,1
5FAFB4QZ,4,no,5,5,1
5FAFB4QZ,5,yes,10,10,1
