teams,pid,aid,hid,shares
Non-Team,3,3,1,35.34
Non-Team,4,3,2,51.016998
Non-Team,5,3,3,36.659
Non-Team,6,3,4,48.535999
Non-Team,7,3,5,0
Non-Team,8,3,6,0
Non-Team,9,3,7,0
Non-Team,10,3,8,0
Non-Team,11,3,9,-.38100001
Non-Team,12,4,1,22.455999
Non-Team,13,4,2,11.541
Non-Team,14,4,3,33.993
Non-Team,15,4,4,0
Non-Team,16,4,5,32.269001
Non-Team,17,4,6,35.366001
Non-Team,18,4,7,0
Non-Team,19,4,8,0
Non-Team,20,4,9,0
Non-Team,21,5,1,0
Non-Team,22,5,2,0
Non-Team,23,5,3,0
Non-Team,24,5,4,0
Non-Team,25,5,5,0
Non-Team,26,5,6,0
Non-Team,27,5,7,49.888
Non-Team,28,5,8,47.597
Non-Team,29,5,9,112.743
Non-Team,30,6,1,11.426
Non-Team,31,6,2,11.571
Non-Team,32,6,3,27.531
Non-Team,33,6,4,27.408001
Non-Team,34,6,5,13.291
Non-Team,35,6,6,13.92
Non-Team,36,6,7,7.0089998
Non-Team,37,6,8,6.4070001
Non-Team,38,6,9,0
Non-Team,39,7,1,5.487
Non-Team,40,7,2,5.8569999
Non-Team,41,7,3,5.5960002
Non-Team,42,7,4,5.566
Non-Team,43,7,5,0
Non-Team,44,7,6,0
Non-Team,45,7,7,0
Non-Team,46,7,8,0
Non-Team,47,7,9,18.056
Non-Team,48,8,1,-59.071999
Non-Team,49,8,2,-17.459
Non-Team,50,8,3,28.93
Non-Team,51,8,4,28.926001
Non-Team,52,8,5,-37.891998
Non-Team,53,8,6,18.733999
Non-Team,54,8,7,18.421
Non-Team,55,8,8,.079000004
Non-Team,56,8,9,-42.500999
Non-Team,57,9,1,-227.05499
Non-Team,58,9,2,-130.758
Non-Team,59,9,3,-119.586
Non-Team,60,9,4,-125.211
Non-Team,61,9,5,0
Non-Team,62,9,6,0
Non-Team,63,9,7,20.900999
Non-Team,64,9,8,10.335
Non-Team,65,9,9,-11.416
Non-Team,66,10,1,26.955999
Non-Team,67,10,2,17.322001
Non-Team,68,10,3,28.157
Non-Team,69,10,4,33.32
Non-Team,70,10,5,0
Non-Team,71,10,6,0
Non-Team,72,10,7,-3.2479999
Non-Team,73,10,8,7.6760001
Non-Team,74,10,9,0
Non-Team,75,11,1,0
Non-Team,76,11,2,0
Non-Team,77,11,3,0
Non-Team,78,11,4,0
Non-Team,79,11,5,0
Non-Team,80,11,6,0
Non-Team,81,11,7,0
Non-Team,82,11,8,0
Non-Team,83,11,9,0
Non-Team,84,12,1,-29.922001
Non-Team,85,12,2,-23.184999
Non-Team,86,12,3,0
Non-Team,87,12,4,0
Non-Team,88,12,5,0
Non-Team,89,12,6,-16.802999
Non-Team,90,12,7,32.523998
Non-Team,91,12,8,30.330999
Non-Team,92,12,9,32.432999
Non-Team,93,13,1,10.063
Non-Team,94,13,2,5.7199998
Non-Team,95,13,3,26.927
Non-Team,96,13,4,10.924
Non-Team,97,13,5,6.448
Non-Team,98,13,6,-18.995001
Non-Team,99,13,7,6.7750001
Non-Team,100,13,8,12.56
Non-Team,101,13,9,-45.712002
Non-Team,102,14,1,29.882999
Non-Team,103,14,2,0
Non-Team,104,14,3,22.507999
Non-Team,105,14,4,22.379
Non-Team,106,14,5,0
Non-Team,107,14,6,-81.514
