teams,timestamp,tid,pid,balance,investment,p_initial,p_new,shares
Non-Team,2019-05-02 16:00:49,7,5,100,20,.5,.59100002,36.659
Non-Team,2019-05-02 16:01:07,14,6,80,20,.5,.59100002,36.659
Non-Team,2019-05-02 16:01:29,15,11,60,-20,.5,.40900001,36.659
Non-Team,2019-05-02 16:02:02,17,11,40,-40,.40900001,.27399999,60.578999
Non-Team,2019-05-02 16:02:57,20,11,0,60,.27399999,.5,97.237999
Non-Team,2019-05-02 16:03:09,22,11,60,-20,.5,.40900001,36.659
Non-Team,2019-05-02 16:03:24,24,5,40,20,.59100002,.66500002,31.834999
Non-Team,2019-05-02 16:03:40,25,6,20,20,.59100002,.66500002,31.834999
Non-Team,2019-05-02 16:04:21,34,5,0,-20,.66500002,.59100002,31.834999
Non-Team,2019-05-02 16:04:26,35,651,100,15,.5,.56999999,28.041
Non-Team,2019-05-02 16:04:28,37,4,20,20,.5,.59100002,36.659
Non-Team,2019-05-02 16:04:37,39,6,0,-20,.66500002,.59100002,31.834999
Non-Team,2019-05-02 16:04:41,40,652,85,10,.59100002,.63,16.386999
Non-Team,2019-05-02 16:04:42,41,3,20,20,.56999999,.648,32.834
Non-Team,2019-05-02 16:04:48,42,653,75,15,.59100002,.648,24.216
Non-Team,2019-05-02 16:05:02,44,654,60,10,.59100002,.63,16.386999
Non-Team,2019-05-02 16:06:35,51,658,50,-1,.5,.495,1.99
Non-Team,2019-05-02 16:07:54,53,659,49,-2,.40900001,.40099999,3.3629999
Non-Team,2019-05-02 16:09:42,56,560,100,-1,.40099999,.39700001,1.665
Non-Team,2019-05-02 16:10:22,59,654,47,30,.63,.72600001,44.192001
Non-Team,2019-05-02 16:10:43,60,653,17,17,.648,.70300001,25.163
Non-Team,2019-05-02 16:11:13,61,552,99,1,.648,.65100002,1.54
Non-Team,2019-05-02 16:11:31,62,553,98,5,.63,.648,7.829
Non-Team,2019-05-02 16:11:44,64,555,93,5,.72600001,.73900002,6.8280001
Non-Team,2019-05-02 16:12:17,65,552,88,4,.65100002,.66500002,6.079
Non-Team,2019-05-02 16:12:59,66,11,0,1,.39700001,.40099999,1.665
Non-Team,2019-05-02 16:13:03,67,11,1,-1,.40099999,.39700001,1.665
