teams,uid,hid,hypothesis,shares
Non-Team,00LFTCUH,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,00LFTCUH,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,00LFTCUH,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",12.105
Non-Team,00LFTCUH,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",11.358
Non-Team,00LFTCUH,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",-34.372002
Non-Team,00LFTCUH,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,00LFTCUH,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,00LFTCUH,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,00LFTCUH,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",24.665001
Non-Team,0FDMYU15,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,0FDMYU15,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,0FDMYU15,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,0FDMYU15,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,0FDMYU15,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,0FDMYU15,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,0FDMYU15,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,0FDMYU15,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,0FDMYU15,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,1V1VYW62,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",11.57
Non-Team,1V1VYW62,2,"Positive Effect of Gains in VMPFC, Equal Range Group",20.174
Non-Team,1V1VYW62,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",10.747
Non-Team,1V1VYW62,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",-5.618
Non-Team,1V1VYW62,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",18.938
Non-Team,1V1VYW62,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,1V1VYW62,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",37.285999
Non-Team,1V1VYW62,8,"Positive Effect of Losses in Amygdala, Equal Range Group",13.315
Non-Team,1V1VYW62,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",54.289001
Non-Team,1XER09KC,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,1XER09KC,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,1XER09KC,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
