teams,hid,hypothesis,timestamp,uid,tid,balance,investment,p_initial,p_new,shares
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 16:04:26,UAA2SLBL,35,100,15,.5,.56999999,28.041
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 16:04:42,BLRDNJ4Q,41,20,20,.56999999,.648,32.834
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 16:11:13,CA0FXXX5,61,99,1,.648,.65100002,1.54
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 16:12:17,CA0FXXX5,65,88,4,.65100002,.66500002,6.079
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 16:13:49,CA0FXXX5,70,69,10,.66500002,.69700003,14.686
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 16:20:08,UAA2SLBL,77,0,-3,.69700003,.68699998,4.3340001
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 16:31:00,BLRDNJ4Q,100,10,10,.68699998,.71700001,14.235
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 16:48:07,EC6JRZIK,134,75,-10,.71700001,.64899999,31.622999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 16:48:13,EC6JRZIK,135,65,10,.64899999,.71700001,31.622999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 16:48:19,EC6JRZIK,136,75,10,.71700001,.74400002,13.683
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 17:16:03,CA0FXXX5,161,22,2,.74400002,.74900001,2.6789999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 18:07:52,URUAQGH3,186,100,4,.74900001,.759,5.3039999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 18:11:52,URUAQGH3,187,96,5,.759,.77100003,6.5359998
