id,position_id,date,cost,balance,old_price,new_price,shares,type
41,3,"2019-05-02 16:04:42",20,20.000,0.570,0.648,32.834,LogScoringTransaction
100,3,"2019-05-02 16:31:00",10,10.000,0.687,0.717,14.235,LogScoringTransaction
932,3,"2019-05-05 22:24:13",-10,0.687,0.860,0.845,11.729,LogScoringTransaction
37,4,"2019-05-02 16:04:28",20,20.000,0.500,0.591,36.659,LogScoringTransaction
98,4,"2019-05-02 16:30:32",10,10.000,0.681,0.712,14.358,LogScoringTransaction
7,5,"2019-05-02 16:00:49",20,100.000,0.500,0.591,36.659,LogScoringTransaction
24,5,"2019-05-02 16:03:24",20,40.000,0.591,0.665,31.835,LogScoringTransaction
34,5,"2019-05-02 16:04:21",-20,0.000,0.665,0.591,31.835,LogScoringTransaction
14,6,"2019-05-02 16:01:07",20,80.000,0.500,0.591,36.659,LogScoringTransaction
25,6,"2019-05-02 16:03:40",20,20.000,0.591,0.665,31.835,LogScoringTransaction
39,6,"2019-05-02 16:04:37",-20,0.000,0.665,0.591,31.835,LogScoringTransaction
933,6,"2019-05-05 22:24:26",10,10.687,0.834,0.850,11.877,LogScoringTransaction
15,11,"2019-05-02 16:01:29",-20,60.000,0.500,0.409,36.659,LogScoringTransaction
17,11,"2019-05-02 16:02:02",-40,40.000,0.409,0.274,60.579,LogScoringTransaction
20,11,"2019-05-02 16:02:57",60,0.000,0.274,0.500,97.238,LogScoringTransaction
22,11,"2019-05-02 16:03:09",-20,60.000,0.500,0.409,36.659,LogScoringTransaction
66,11,"2019-05-02 16:12:59",1,0.000,0.397,0.401,1.665,LogScoringTransaction
67,11,"2019-05-02 16:13:03",-1,1.000,0.401,0.397,1.665,LogScoringTransaction
96,11,"2019-05-02 16:30:12",10,0.000,0.386,0.426,16.826,LogScoringTransaction
99,11,"2019-05-02 16:30:51",10,0.000,0.426,0.471,18.129,LogScoringTransaction
101,11,"2019-05-02 16:31:34",1,0.000,0.471,0.479,3.393,LogScoringTransaction
104,11,"2019-05-02 16:32:12",-1,0.092,0.475,0.469,2.070,LogScoringTransaction
510,11,"2019-05-03 08:56:24",1,0.688,0.419,0.425,2.225,LogScoringTransaction
511,11,"2019-05-03 08:56:39",-1,0.130,0.425,0.419,2.225,LogScoringTransaction
987,12,"2019-05-06 08:30:07",5,100.000,0.873,0.879,5.706,LogScoringTransaction
1001,12,"2019-05-06 08:38:04",15,45.000,0.888,0.903,16.750,LogScoringTransaction
996,13,"2019-05-06 08:35:41",10,95.000,0.860,0.873,11.541,LogScoringTransaction
1007,14,"2019-05-06 08:40:05",30,30.000,0.864,0.899,33.993,LogScoringTransaction
998,16,"2019-05-06 08:37:16",20,65.000,0.581,0.657,32.269,LogScoringTransaction
997,17,"2019-05-06 08:36:54",20,85.000,0.522,0.609,35.366,LogScoringTransaction
2406,27,"2019-05-12 08:54:29",25,50.000,0.439,0.563,49.888,LogScoringTransaction
2407,28,"2019-05-12 08:54:38",25,25.000,0.466,0.584,47.597,LogScoringTransaction
2405,29,"2019-05-12 08:54:00",50,100.000,0.311,0.582,112.743,LogScoringTransaction
1722,30,"2019-05-07 15:34:49",10,20.000,0.869,0.881,11.426,LogScoringTransaction
1532,31,"2019-05-06 20:04:53",-100,100.000,0.913,0.336,302.850,LogScoringTransaction
1533,31,"2019-05-06 20:05:46",100,0.000,0.336,0.913,302.850,LogScoringTransaction
1721,31,"2019-05-07 15:34:42",10,30.000,0.857,0.871,11.571,LogScoringTransaction
1715,32,"2019-05-07 15:28:09",25,100.000,0.896,0.919,27.531,LogScoringTransaction
1716,33,"2019-05-07 15:28:26",25,75.000,0.901,0.923,27.408,LogScoringTransaction
1719,34,"2019-05-07 15:33:50",10,50.000,0.740,0.765,13.291,LogScoringTransaction
1720,35,"2019-05-07 15:33:59",10,40.000,0.704,0.732,13.920,LogScoringTransaction
1723,36,"2019-05-07 15:36:08",5,10.000,0.706,0.721,7.009,LogScoringTransaction
1724,37,"2019-05-07 15:36:13",5,5.000,0.775,0.786,6.407,LogScoringTransaction
1713,39,"2019-05-07 15:14:37",5,85.000,0.909,0.913,5.487,LogScoringTransaction
1712,40,"2019-05-07 15:14:30",5,90.000,0.850,0.857,5.857,LogScoringTransaction
1710,41,"2019-05-07 15:14:15",5,98.000,0.891,0.896,5.596,LogScoringTransaction
1709,42,"2019-05-07 15:13:58",2,100.000,0.896,0.898,2.230,LogScoringTransaction
1711,42,"2019-05-07 15:14:22",3,93.000,0.898,0.901,3.336,LogScoringTransaction
1714,47,"2019-05-07 15:17:17",10,80.000,0.531,0.576,18.056,LogScoringTransaction
240,48,"2019-05-02 18:34:27",15,50.000,0.803,0.830,18.366,LogScoringTransaction
244,48,"2019-05-02 18:36:35",5,15.000,0.830,0.838,5.993,LogScoringTransaction
267,48,"2019-05-02 18:41:38",-10,0.027,0.861,0.846,11.713,LogScoringTransaction
281,48,"2019-05-02 18:57:43",7,15.027,0.766,0.782,9.046,LogScoringTransaction
739,48,"2019-05-03 17:34:51",-7,0.027,0.796,0.781,8.875,LogScoringTransaction
758,48,"2019-05-03 18:21:06",-10,0.027,0.792,0.770,12.802,LogScoringTransaction
2448,48,"2019-05-12 15:48:22",-20,46.973,0.828,0.678,82.638,LogScoringTransaction
2449,48,"2019-05-12 15:48:27",10,26.998,0.678,0.749,35.007,LogScoringTransaction
2451,48,"2019-05-12 15:48:48",-3,33.153,0.749,0.727,11.456,LogScoringTransaction
241,49,"2019-05-02 18:34:33",15,35.000,0.801,0.828,18.407,LogScoringTransaction
243,49,"2019-05-02 18:36:28",5,20.000,0.828,0.837,6.005,LogScoringTransaction
271,49,"2019-05-02 18:44:22",-10,0.027,0.860,0.845,11.733,LogScoringTransaction
282,49,"2019-05-02 18:57:50",8,8.027,0.764,0.783,10.342,LogScoringTransaction
1522,49,"2019-05-06 19:10:12",-20,0.027,0.908,0.888,22.265,LogScoringTransaction
2450,49,"2019-05-12 15:48:39",-5,36.998,0.764,0.730,18.215,LogScoringTransaction
237,50,"2019-05-02 18:33:15",25,100.000,0.879,0.906,27.996,LogScoringTransaction
274,50,"2019-05-02 18:45:14",-10,0.027,0.919,0.910,10.931,LogScoringTransaction
280,50,"2019-05-02 18:57:18",-15,0.027,0.910,0.896,16.604,LogScoringTransaction
632,50,"2019-05-03 13:58:02",30,30.027,0.870,0.904,33.792,LogScoringTransaction
738,50,"2019-05-03 17:32:21",10,10.027,0.798,0.817,12.380,LogScoringTransaction
1610,50,"2019-05-07 01:50:51",-42,20.027,0.921,0.879,46.598,LogScoringTransaction
2446,50,"2019-05-12 15:47:50",20,86.973,0.848,0.875,23.203,LogScoringTransaction
2454,50,"2019-05-12 15:49:59",5,10.153,0.875,0.881,5.692,LogScoringTransaction
239,51,"2019-05-02 18:33:29",25,75.000,0.886,0.911,27.801,LogScoringTransaction
251,51,"2019-05-02 18:38:12",5,5.000,0.746,0.759,6.646,LogScoringTransaction
265,51,"2019-05-02 18:41:10",4,4.027,0.792,0.800,5.023,LogScoringTransaction
268,51,"2019-05-02 18:41:46",10,10.027,0.800,0.819,12.347,LogScoringTransaction
272,51,"2019-05-02 18:44:29",10,10.027,0.819,0.837,12.077,LogScoringTransaction
275,51,"2019-05-02 18:45:21",10,10.027,0.837,0.852,11.843,LogScoringTransaction
629,51,"2019-05-03 13:57:48",-30,0.027,0.946,0.927,32.007,LogScoringTransaction
637,51,"2019-05-03 14:00:56",-10,0.027,0.927,0.920,10.826,LogScoringTransaction
740,51,"2019-05-03 17:35:02",7,7.027,0.807,0.820,8.602,LogScoringTransaction
