id,portfolio_id,asset_id,shares,type
831,95,12,32.013,LogScoringPosition
832,95,13,2.094,LogScoringPosition
833,95,14,2.562,LogScoringPosition
834,95,15,2.303,LogScoringPosition
835,95,16,34.165,LogScoringPosition
836,95,17,8.230,LogScoringPosition
837,95,18,45.038,LogScoringPosition
838,95,19,77.102,LogScoringPosition
839,95,20,84.984,LogScoringPosition
840,96,12,45.422,LogScoringPosition
841,96,13,38.385,LogScoringPosition
842,96,14,0.000,LogScoringPosition
843,96,15,56.543,LogScoringPosition
844,96,16,12.106,LogScoringPosition
845,96,17,-22.775,LogScoringPosition
846,96,18,0.000,LogScoringPosition
847,96,19,0.000,LogScoringPosition
848,96,20,0.000,LogScoringPosition
849,97,12,0.000,LogScoringPosition
850,97,13,-34.872,LogScoringPosition
851,97,14,0.000,LogScoringPosition
852,97,15,-0.175,LogScoringPosition
853,97,16,57.461,LogScoringPosition
854,97,17,0.000,LogScoringPosition
855,97,18,-21.800,LogScoringPosition
856,97,19,0.004,LogScoringPosition
857,97,20,-0.138,LogScoringPosition
858,98,12,-111.304,LogScoringPosition
859,98,13,-32.792,LogScoringPosition
860,98,14,0.000,LogScoringPosition
861,98,15,-0.207,LogScoringPosition
862,98,16,57.445,LogScoringPosition
863,98,17,0.000,LogScoringPosition
864,98,18,-34.917,LogScoringPosition
865,98,19,-0.779,LogScoringPosition
866,98,20,-0.066,LogScoringPosition
867,99,12,0.000,LogScoringPosition
868,99,13,0.000,LogScoringPosition
869,99,14,0.000,LogScoringPosition
870,99,15,0.000,LogScoringPosition
871,99,16,0.000,LogScoringPosition
872,99,17,0.000,LogScoringPosition
873,99,18,0.000,LogScoringPosition
874,99,19,0.000,LogScoringPosition
875,99,20,0.000,LogScoringPosition
876,100,12,45.379,LogScoringPosition
877,100,13,-8.978,LogScoringPosition
878,100,14,-7.101,LogScoringPosition
879,100,15,-12.856,LogScoringPosition
880,100,16,23.940,LogScoringPosition
881,100,17,4.724,LogScoringPosition
882,100,18,-1.181,LogScoringPosition
883,100,19,-1.323,LogScoringPosition
884,100,20,-30.638,LogScoringPosition
885,101,12,-0.415,LogScoringPosition
886,101,13,-10.368,LogScoringPosition
887,101,14,-18.199,LogScoringPosition
