id,position_id,date,cost,balance,old_price,new_price,shares,type
940,831,"2019-05-06 07:13:29",30,100.000,0.587,0.694,46.764,LogScoringTransaction
942,831,"2019-05-06 07:14:37",-10,69.000,0.694,0.662,14.751,LogScoringTransaction
941,832,"2019-05-06 07:14:24",1,70.000,0.475,0.480,2.094,LogScoringTransaction
943,833,"2019-05-06 07:14:50",1,79.000,0.387,0.393,2.562,LogScoringTransaction
944,834,"2019-05-06 07:14:57",1,78.000,0.431,0.437,2.303,LogScoringTransaction
945,835,"2019-05-06 07:15:18",40,77.000,0.859,0.906,45.269,LogScoringTransaction
949,835,"2019-05-06 07:16:45",-10,2.000,0.906,0.896,11.104,LogScoringTransaction
950,836,"2019-05-06 07:16:54",5,12.000,0.598,0.617,8.230,LogScoringTransaction
951,837,"2019-05-06 07:17:29",7,7.000,0.127,0.186,45.038,LogScoringTransaction
952,837,"2019-05-06 07:17:56",-7,0.000,0.186,0.127,45.037,LogScoringTransaction
953,837,"2019-05-06 07:18:12",7,7.000,0.127,0.186,45.037,LogScoringTransaction
946,838,"2019-05-06 07:15:44",25,37.000,0.139,0.330,111.163,LogScoringTransaction
947,838,"2019-05-06 07:16:00",-10,12.000,0.330,0.259,34.061,LogScoringTransaction
948,839,"2019-05-06 07:16:18",20,22.000,0.165,0.317,84.984,LogScoringTransaction
834,840,"2019-05-04 10:54:57",23,100.000,0.644,0.717,33.744,LogScoringTransaction
971,840,"2019-05-06 08:24:21",7,7.000,0.585,0.613,11.678,LogScoringTransaction
835,841,"2019-05-04 10:55:53",20,77.000,0.473,0.569,38.385,LogScoringTransaction
836,843,"2019-05-04 10:56:17",30,57.000,0.460,0.600,56.543,LogScoringTransaction
837,844,"2019-05-04 10:56:56",10,27.000,0.817,0.835,12.106,LogScoringTransaction
838,845,"2019-05-04 10:57:02",-10,17.000,0.589,0.533,22.775,LogScoringTransaction
471,850,"2019-05-03 08:06:15",-5,5.999,0.330,0.314,7.377,LogScoringTransaction
477,850,"2019-05-03 08:09:41",-5,5.999,0.314,0.299,7.210,LogScoringTransaction
580,850,"2019-05-03 10:20:12",-10,10.763,0.532,0.482,20.285,LogScoringTransaction
371,852,"2019-05-02 22:04:38",50,74.999,0.621,0.770,71.510,LogScoringTransaction
373,852,"2019-05-02 22:08:21",-25,0.999,0.770,0.705,33.854,LogScoringTransaction
452,852,"2019-05-03 07:30:00",-20,0.999,0.666,0.592,31.790,LogScoringTransaction
467,852,"2019-05-03 08:02:33",10,10.999,0.547,0.590,17.575,LogScoringTransaction
509,852,"2019-05-03 08:26:14",8,8.763,0.483,0.523,15.896,LogScoringTransaction
578,852,"2019-05-03 10:19:23",-5,0.763,0.523,0.499,9.786,LogScoringTransaction
579,852,"2019-05-03 10:19:56",-5,5.763,0.499,0.473,10.292,LogScoringTransaction
1837,852,"2019-05-08 07:32:15",-24,0.763,0.642,0.529,46.870,LogScoringTransaction
1839,852,"2019-05-08 07:32:40",12,0.621,0.529,0.596,27.436,LogScoringTransaction
367,853,"2019-05-02 22:02:43",25,100.000,0.876,0.904,28.078,LogScoringTransaction
372,853,"2019-05-02 22:04:57",24,24.999,0.904,0.924,26.251,LogScoringTransaction
470,853,"2019-05-03 08:06:09",-5,0.999,0.985,0.985,5.076,LogScoringTransaction
475,853,"2019-05-03 08:09:18",-5,0.999,0.992,0.991,5.043,LogScoringTransaction
1841,853,"2019-05-08 07:33:06",12,12.621,0.900,0.911,13.251,LogScoringTransaction
453,855,"2019-05-03 07:30:16",-20,20.999,0.091,0.075,21.800,LogScoringTransaction
368,856,"2019-05-02 22:03:15",-1,75.000,0.126,0.125,1.143,LogScoringTransaction
369,856,"2019-05-02 22:03:25",-1,74.000,0.125,0.123,1.141,LogScoringTransaction
370,856,"2019-05-02 22:03:32",2,73.000,0.123,0.126,2.288,LogScoringTransaction
374,857,"2019-05-02 22:08:50",25,25.999,0.235,0.405,79.147,LogScoringTransaction
466,857,"2019-05-03 08:00:25",-10,0.999,0.327,0.256,34.365,LogScoringTransaction
508,857,"2019-05-03 08:26:00",-8,0.999,0.210,0.145,44.920,LogScoringTransaction
1808,858,"2019-05-07 21:56:23",-20,20.362,0.892,0.730,111.304,LogScoringTransaction
469,859,"2019-05-03 08:06:08",-12,12.557,0.372,0.330,18.495,LogScoringTransaction
495,859,"2019-05-03 08:17:50",-24,24.557,0.284,0.224,32.136,LogScoringTransaction
585,859,"2019-05-03 10:43:10",-34,34.557,0.482,0.343,57.734,LogScoringTransaction
827,859,"2019-05-03 23:12:33",34,0.557,0.337,0.473,57.021,LogScoringTransaction
1326,859,"2019-05-06 14:06:59",-20,20.362,0.702,0.574,55.501,LogScoringTransaction
1638,859,"2019-05-07 08:20:18",12,0.362,0.569,0.641,30.408,LogScoringTransaction
1807,859,"2019-05-07 21:54:32",20,0.362,0.487,0.595,43.645,LogScoringTransaction
43,861,"2019-05-02 16:05:01",30,75.000,0.500,0.630,53.046,LogScoringTransaction
76,861,"2019-05-02 16:18:14",-10,10.000,0.570,0.524,18.278,LogScoringTransaction
1192,861,"2019-05-06 12:37:19",-20,0.557,0.615,0.529,34.975,LogScoringTransaction
28,862,"2019-05-02 16:03:53",25,100.000,0.775,0.825,31.213,LogScoringTransaction
63,862,"2019-05-02 16:11:41",-4,26.000,0.866,0.861,4.631,LogScoringTransaction
